identifier,title,action,name,date,matter_id
A2023-0001263,"Appointment of Alejandra Flores as member of Special Service Area No. 3, Southwest Business Growth Area Commission",Approved,Chicago City Council,2023-10-05,758FDD8F-5B10-EE11-8F6C-001DD806D3F2
A2023-0001269,"Reappointment of Lorraine J. Rieff-Liakouras as member of Special Service Area No. 16, Greektown/Halsted Commission",Approved,Chicago City Council,2023-07-10,266E1A83-5F10-EE11-8F6C-001DD806D2E1
A2023-0001282,"Appointment of Erick Valdez as member of Special Service Area No. 39, Brighton Park-Archer Heights Commission",Recommended to Pass,Chicago City Council,2023-09-12,20C2545B-6910-EE11-8F6C-001DD806D3F2
A2023-0001864,Appointment of Mayor Brandon Johnson as member of Public Building Commission,Recommended to Pass,"Committee on Zoning, Landmarks and Building Standards",2023-06-19,20659CA3-1F11-EE11-8F6C-001DD8094692
A2023-0002901,Appointment of Angela Tovar as Chief Sustainability Officer,Recommended to Pass,Committee on Environmental Protection and Energy,2023-09-13,0E2F809E-9E25-EE11-9CBD-001DD804E144
A2023-0003864,Appointment of Larry Snelling as Superintendent of Chicago Police Department,Introduced,Chicago City Council,2023-09-08,F1F8A936-3148-EE11-BE6D-001DD80974AF
A2023-0004196,"Appointment of Timothy Klump as member of Special Service Area No. 18, North Halsted Commission",Approved,Chicago City Council,2023-10-05,898120BE-0C53-EE11-BE6E-001DD8097F7D
A2023-0004207,"Reappointment of Elizabeth B. Fuld as member of SSA No. 18, North Halsted Commission",Approved,Chicago City Council,2023-10-05,ECCA9B87-1453-EE11-BE6E-001DD8097665
CL2023-0003511,"Damage to property claim for Flores, Lissette",Recommended to Pass,Committee on Finance,2023-07-19,D08E5A0D-A845-EE11-BE6D-001DD80974AF
CL2023-0003534,"Damage to vehicle - pothole claim for Day, Carolyn",Referred,Chicago City Council,2022-06-26,7BCE3BBB-B245-EE11-BE6D-001DD80974AF
CL2023-0003637,"Damage to vehicle claim for Cooper, John",Recommended Do Not Pass,Committee on Finance,2023-07-19,56040014-7246-EE11-BE6D-001DD8097F7D
CL2023-0003637,"Damage to vehicle claim for Cooper, John",Referred,Chicago City Council,2023-04-27,56040014-7246-EE11-BE6D-001DD8097F7D
CL2023-0003719,"Damage to vehicle - pothole claim for Kratzer, Raymond L.",Referred,Chicago City Council,2023-06-14,55553C52-8846-EE11-BE6D-001DD80974AF
CL2023-0003721,"Damage to vehicle claim for Jackson, Adyna G.",Referred,Chicago City Council,2022-06-27,A9B99007-8946-EE11-BE6D-001DD80974AF
CL2023-0003732,"Damage to vehicle claim for Juarez, Jose M.",Referred,Chicago City Council,2023-03-23,80AA50D1-8C46-EE11-BE6D-001DD80974AF
CL2023-0003803,"Damage to vehicle - pothole claim for Hoover, Shea R.",Referred,Chicago City Council,2022-07-27,B1EEB9D7-A846-EE11-BE6D-001DD8097692
O2023-0001052,Handicapped Parking Permit No. 131179,Substituted-Aggregated,Chicago City Council,2023-07-14,B6F60E9A-DB0A-EE11-8F6D-001DD809B7F1
O2023-0001053,Handicapped Parking Permit No. 131222,Substituted-Aggregated,Chicago City Council,2023-07-14,E177A743-DD0A-EE11-8F6D-001DD809B965
O2023-0001054,Handicapped Parking Permit No. 131655,Substituted-Aggregated,Chicago City Council,2023-07-14,A9C3E013-DE0A-EE11-8F6D-001DD809B965
O2023-0001055,Handicapped Parking Permit No. 131703,Substituted-Aggregated,Chicago City Council,2023-07-14,96A46337-E00A-EE11-8F6D-001DD809B965
O2023-0001056,Handicapped Parking Permit No. 130605,Substituted-Aggregated,Chicago City Council,2023-07-14,A5F30658-E30A-EE11-8F6D-001DD809B965
O2023-0001062,Handicapped Parking Permit No. 130404,Substituted-Aggregated,Chicago City Council,2023-07-14,10EA804A-EE0A-EE11-8F6D-001DD809B965
O2023-0001064,Handicapped Parking Permit No. 125158 - remove,Substituted-Aggregated,Chicago City Council,2023-07-14,6752376C-EF0A-EE11-8F6D-001DD809B965
O2023-0001067,Handicapped Parking Permit No. 77264 - remove,Substituted-Aggregated,Chicago City Council,2023-07-14,162D585B-F20A-EE11-8F6D-001DD809B7F1
O2023-0001300,Traffic sign(s)/signal(s) at S Wabash Ave and E 69th St - All-Way Stop,Substituted-Aggregated,Chicago City Council,2023-07-14,1B85AE78-7410-EE11-8F6C-001DD806D641
O2023-0001307,Traffic direction at S Lockwood Ave from W 51st St to S Archer Ave - One-Way northerly - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,3D64D8F6-7610-EE11-8F6C-001DD806D641
O2023-0001313,Handicapped Parking Permit No. 49753 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,30F9467D-7810-EE11-8F6C-001DD806D641
O2023-0001322,Handicapped Parking Permit No. 14696 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,B2A43B7F-7A10-EE11-8F6C-001DD806D641
O2023-0001325,Handicapped Parking Permit No. 131015,Substituted-Aggregated,Chicago City Council,2023-07-14,199448F1-7A10-EE11-8F6C-001DD806D641
O2023-0001328,Handicapped Parking Permit No. 131444,Substituted-Aggregated,Chicago City Council,2023-07-14,1E16965F-7B10-EE11-8F6C-001DD806D641
O2023-0001330,Handicapped Parking Permit No. 131045,Substituted-Aggregated,Chicago City Council,2023-07-14,FC3B0ADE-7B10-EE11-8F6C-001DD806D641
O2023-0001333,Handicapped Parking Permit No. 128088,Substituted-Aggregated,Chicago City Council,2023-07-14,B5B6F645-7C10-EE11-8F6C-001DD806D641
O2023-0001340,Handicapped Parking Permit No. 130408,Substituted-Aggregated,Chicago City Council,2023-07-14,88875E4C-7D10-EE11-8F6C-001DD806D641
O2023-0001344,Handicapped Parking Permit No. 129442,Substituted-Aggregated,Chicago City Council,2023-07-14,A1D58AC2-7D10-EE11-8F6C-001DD806D641
O2023-0001348,Residential permit parking at 1822-1830 S Peoria St - Zone No. 2389,Substituted-Aggregated,Chicago City Council,2023-06-14,F173EBA3-7E10-EE11-8F6C-001DD806D641
O2023-0001350,Handicapped Parking Permit No. 131395,Substituted-Aggregated,Chicago City Council,2023-06-14,FB7FA21C-7F10-EE11-8F6C-001DD806D641
O2023-0001354,Intergovernmental lease agreement with Chicago Park District regarding term use of portion of Durkin Park for water supply project,Signed by Mayor,Chicago City Council,2023-08-02,E1DB186D-7F10-EE11-8F6C-001DD806D641
O2023-0001359,Handicapped Parking Permit No. 1131410,Substituted-Aggregated,Chicago City Council,2023-07-14,22B47D1E-8010-EE11-8F6C-001DD806D641
O2023-0001365,"Loading/Standing/Tow Zone(s) at W Ogden Ave Service Dr (north side) from 30 ft. east of S Western Ave to 300 ft. east thereof and W Ogden Service Dr (south side) from 20 ft. east of W 13th St to 220 ft. east thereof - No Parking City of Chicago Personnel Permit Parking Only, Tow Zone",Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,360689FB-8010-EE11-8F6C-001DD806D641
O2023-0001369,Handicapped Parking Permit No. 92660 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,DEADD880-8110-EE11-8F6C-001DD806D641
O2023-0001374,Speed limitation at N Kedzie Ave from W Diversey Ave to W Addison St - 20 mph,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,7B968A2F-8210-EE11-8F6C-001DD806D641
O2023-0001378,Support of Class 6(b) tax incentive for property at 3815 S Ashland Ave,Referred,Chicago City Council,2023-07-21,DB49C2C9-8210-EE11-8F6C-001DD806D641
O2023-0001382,Handicapped Parking Permit No. 125654 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,104A7F84-8310-EE11-8F6C-001DD806D641
O2023-0001386,Handicapped Parking Permit No. 121980 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,8DC9C9F7-8310-EE11-8F6C-001DD806D641
O2023-0001387,Handicapped Parking Permit No. 113059 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,027D1E4D-8410-EE11-8F6C-001DD806D641
O2023-0001455,Acquisition of property for roadway improvement project along S Burley Avenue from E 122nd Street to E 126th Pl; S Carondolet Ave from E 122nd St to E 126th Pl; and E 122nd St from South Ave O to S Caroldolet Ave and Norfolk Southern Railway Company grade crossing for North Point Redevelopment Project,Signed by Mayor,Chicago City Council,2023-09-18,6BCBBC19-8610-EE11-8F6C-001DD806D2E1
O2023-0001455,Acquisition of property for roadway improvement project along S Burley Avenue from E 122nd Street to E 126th Pl; S Carondolet Ave from E 122nd St to E 126th Pl; and E 122nd St from South Ave O to S Caroldolet Ave and Norfolk Southern Railway Company grade crossing for North Point Redevelopment Project,Recommended to Pass,Committee on Housing and Real Estate,2023-09-15,6BCBBC19-8610-EE11-8F6C-001DD806D2E1
O2023-0001455,Acquisition of property for roadway improvement project along S Burley Avenue from E 122nd Street to E 126th Pl; S Carondolet Ave from E 122nd St to E 126th Pl; and E 122nd St from South Ave O to S Caroldolet Ave and Norfolk Southern Railway Company grade crossing for North Point Redevelopment Project,Held in Committee,Chicago City Council,2023-06-14,6BCBBC19-8610-EE11-8F6C-001DD806D2E1
O2023-0001690,Exemption from physical barrier requirement for commercial driveway alley access for 3737 N Clark St LLC,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,16F3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001691,Exemption from physical barrier requirement for commercial driveway alley access for Nurturing Niche Lincoln Park Inc.,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,18F3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001692,Exemption from physical barrier requirement for commercial driveway alley access for Over the Rainbow Association,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,1AF3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001693,Exemption from physical barrier requirement for commercial driveway alley access for Hester Early Learning,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,1CF3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001694,Exemption from physical barrier requirement for commercial driveway alley access for School Street Flats LLC,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,1FF3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001695,Exemption from physical barrier requirement for commercial driveway alley access for Life Storage,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,21F3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001696,Exemption from physical barrier requirement for commercial driveway alley access for GT Alternatives LLC,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,23F3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001697,Exemption from physical barrier requirement for commercial driveway alley access for 3701 W Devon Congregation Kollel Zichron Eliyahu,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,25F3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001698,Opening of public street(s) within area bounded by W 38th St between S May St and S Morgan St,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,27F3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001699,Opening of public street(s) within area bounded by W Division St from N Halsted St and North Branch of Chicago River,Recommended to Pass,Committee on Transportation and Public Way,2023-06-21,29F3D7FD-8910-EE11-8F6C-001DD80948A9
O2023-0001730,Handicapped permit parking at 5736 S Campbell Ave,Substituted-Aggregated,Chicago City Council,2023-06-13,94FF5107-0611-EE11-8F6C-001DD806D2E1
O2023-0001731,Handicapped Permit Parking No. 130222 - amend,Substituted-Aggregated,Chicago City Council,2023-06-14,B17EC2A1-0611-EE11-8F6C-001DD806D2E1
O2023-0001736,Speed limitation at W Wellington Ave from N Kimball Ave to N Kedzie Ave - 20 mph - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,FE465A25-0A11-EE11-8F6C-001DD806D2E1
O2023-0001737,Traffic direction at W Wellington Ave from N Kimball Ave to N Kedzie Ave - One Way westerly - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,403B4EB0-0A11-EE11-8F6C-001DD806D2E1
O2023-0001738,Speed limitation at N Central Park Ave from N Dickens Ave to N Fullerton Ave - 20 mph - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,0971016D-0B11-EE11-8F6C-001DD806D2E1
O2023-0001740,Speed limitation at W Belmont Ave from N Kimball Ave to N Rockwell St - 20 mph,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,3A31029E-0C11-EE11-8F6C-001DD806D2E1
O2023-0001745,"Negotiated sale of vacant City-owned property at 1924 W 46th St to Harvest Food Group, Inc. and Harvest Yards LLC for relocation and expansion of frozen food processing and packaging facilities requiring public open space, environmental improvements, public street widening, and parcel remediation",Held in Committee,Chicago City Council,2023-06-14,14B8E40B-0F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Recommend to Pass,Chicago City Council,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Passed,Chicago City Council,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Introduce,Chicago City Council,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Refer,Committee on Housing and Real Estate,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001968,Handicapped Parking Permit No. 131714,Substituted-Aggregated,Chicago City Council,2023-06-14,7F090CB8-3A11-EE11-8F6C-001DD806D3F2
O2023-0001972,Handicapped Parking Permit No. 131154,Substituted-Aggregated,Chicago City Council,2023-06-14,0C52C0CE-3B11-EE11-8F6C-001DD806D3F2
O2023-0001973,Handicapped Parking Permit No. 131083,Substituted-Aggregated,Chicago City Council,2023-06-14,D0A0B24E-3C11-EE11-8F6C-001DD806D3F2
O2023-0001974,Handicapped Parking Permit No. 42599 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,B7EB3717-3D11-EE11-8F6C-001DD806D3F2
O2023-0001976,Handicapped Parking Permit No. 131030,Substituted-Aggregated,Chicago City Council,2023-06-14,0EDD884B-3E11-EE11-8F6C-001DD806D3F2
O2023-0001985,Residential permit parking at 1801-1827 S Peoria St - Zone No. 2389,Substituted-Aggregated,Chicago City Council,2023-06-14,2FA0E12B-4111-EE11-8F6C-001DD806D3F2
O2023-0001988,Loading/Standing/Tow Zone(s) at 122 N Aberdeen St - Libary Parking Only,Substituted-Aggregated,Chicago City Council,2023-06-14,F5A7CE69-4311-EE11-8F6C-001DD806D3F2
O2023-0002003,"Relocation of parking meter payboxes on portions of W Locust St, W Walton St, N Wells St, W Chestnut St, N Franklin St, W Walton St and W Oak St",Substituted-Aggregated,Chicago City Council,2023-06-14,2B1F609A-4711-EE11-8F6C-001DD806D3F2
O2023-0002015,Parking meters at 1380 W Randolph St - amend,Substituted-Aggregated,Chicago City Council,2023-06-14,EE120A07-4A11-EE11-8F6C-001DD806D3F2
